Paper Title,Header Number,Header Title,Text
Merging-Diverging Hybrid Transformer Networks for Survival Prediction in Head and Neck Cancer,1,Introduction,"Head and Neck (H&N) cancer refers to malignant tumors in H&N regions, which is among the most common cancers worldwide  Traditional survival prediction methods are usually based on radiomics  Firstly, existing deep survival models are underdeveloped in utilizing complementary multi-modality information, such as the metabolic and anatomical information in PET and CT images. For survival prediction in H&N cancer, existing methods usually use single imaging modality  Secondly, although deep survival models have advantages in performing end-to-end survival prediction without requiring tumor masks, this also incurs difficulties in extracting region-specific information, such as the prognostic information in Primary Tumor (PT) and Metastatic Lymph Node (MLN) regions. To address this limitation, recent deep survival models adopted multi-task learning for joint tumor segmentation and survival prediction, to implicitly guide the model to extract features related to tumor regions  In this study, we design an X-shape merging-diverging hybrid transformer network (named XSurv, Fig. "
Merging-Diverging Hybrid Transformer Networks for Survival Prediction in Head and Neck Cancer,2,Method,Figure 
Merging-Diverging Hybrid Transformer Networks for Survival Prediction in Head and Neck Cancer,2.1,PET-CT Merging Encoder,"Assuming N conv , N self , and N cross are three architecture parameters, each encoder branch consists of N conv Conv blocks, N self Hybrid Parallel Self-Attention (HPSA) blocks, and N cross HPCA blocks. Max pooling is applied between blocks and the features before max pooling are propagated to the decoder through skip connections. As shown in Fig.  The idea of adopting convolutions and transformers in parallel has been explored for segmentation "
Merging-Diverging Hybrid Transformer Networks for Survival Prediction in Head and Neck Cancer,2.2,PT-MLN Diverging Decoder,As shown in Fig. 
Merging-Diverging Hybrid Transformer Networks for Survival Prediction in Head and Neck Cancer,2.3,Multi-task Learning,Following existing multi-task deep survival models 
Merging-Diverging Hybrid Transformer Networks for Survival Prediction in Head and Neck Cancer,2.4,Radiomics Enhancement,Our XSurv also can be enhanced by leveraging radiomics features (denoted as Radio-XSurv). Following 
Merging-Diverging Hybrid Transformer Networks for Survival Prediction in Head and Neck Cancer,3,Experimental Setup,
Merging-Diverging Hybrid Transformer Networks for Survival Prediction in Head and Neck Cancer,3.1,Dataset and Preprocessing,"We adopted the training dataset of HECKTOR 2022 (refer to https://hecktor.grand-cha llenge.org/), including 488 H&N cancer patients acquired from seven medical centers  We resampled PET-CT images into isotropic voxels where 1 voxel corresponds to 1 mm 3 . Each image was cropped to 160 × 160 × 160 voxels with the tumor located in the center. PET images were standardized using Z-score normalization, while CT images were clipped to "
Merging-Diverging Hybrid Transformer Networks for Survival Prediction in Head and Neck Cancer,3.2,Implementation Details,"We implemented our XSurv using PyTorch on a 12 GB GeForce GTX Titan X GPU. Our XSurv was trained for 12,000 iterations using an Adam optimizer with a batch size of 2. Each training batch included the same number of censored and uncensored samples. The learning rate was set as 1e-4 initially and then reset to 5e-5 and 1e-5 at the 4,000 th and 8,000 th training iteration. Data augmentation was applied in real-time during training to minimize overfitting, including random affine transformations and random cropping to 112 × 112 × 112 voxels. Validation was performed after every 200 training iterations and the model achieving the highest validation result was preserved. In our experiments, one training iteration (including data augmentation) took roughly 4.2 s, and one inference iteration took roughly 0.61 s."
Merging-Diverging Hybrid Transformer Networks for Survival Prediction in Head and Neck Cancer,3.3,Experimental Settings,"We compared our XSurv to six state-of-the-art survival prediction methods, including two traditional radiomics-based methods and four deep survival models. The included traditional methods are CoxPH  We also performed two ablation studies on the encoder and decoder separately: (i) We replaced HPCA/HPSA blocks with Conv blocks and compared different strategies to combine PET-CT images. (ii) We removed RAG blocks and compared different strategies to extract PT/MLN-related information. "
Merging-Diverging Hybrid Transformer Networks for Survival Prediction in Head and Neck Cancer,4,Results and Discussion,The comparison between our XSurv and the state-of-the-art methods is presented in Table  The ablation study on the PET-CT merging encoder is shown in Table  The ablation study on the PT-MLN diverging decoder is shown in Table 
Merging-Diverging Hybrid Transformer Networks for Survival Prediction in Head and Neck Cancer,5,Conclusion,"We have outlined an X-shape merging-diverging hybrid transformer network (XSurv) for survival prediction from PET-CT images in H&N cancer. Within the XSurv, we propose a merging-diverging learning framework, a Hybrid Parallel Cross-Attention (HPCA) block, and a Region-specific Attention Gate (RAG) block, to learn complementary information from multi-modality images and extract region-specific prognostic information for survival prediction. Extensive experiments have shown that the proposed framework and blocks enable our XSurv to outperform state-of-the-art survival prediction methods on the well-benchmarked HECKTOR 2022 dataset."
Merging-Diverging Hybrid Transformer Networks for Survival Prediction in Head and Neck Cancer,,Fig. 1 .,
Merging-Diverging Hybrid Transformer Networks for Survival Prediction in Head and Neck Cancer,,Fig. 2 .,
Merging-Diverging Hybrid Transformer Networks for Survival Prediction in Head and Neck Cancer,,,
Merging-Diverging Hybrid Transformer Networks for Survival Prediction in Head and Neck Cancer,,Table 1 .,
Merging-Diverging Hybrid Transformer Networks for Survival Prediction in Head and Neck Cancer,,Table 2 .,
Merging-Diverging Hybrid Transformer Networks for Survival Prediction in Head and Neck Cancer,,Table 3 .,
Wall Thickness Estimation from Short Axis Ultrasound Images via Temporal Compatible Deformation Learning,1,Introduction,"Cardiovascular disease is a leading cause of death in the world. Accurate quantification of left ventricular wall thicknesses (LVWT) from ultrasound images is among the most clinically important and significant indices for evaluating cardiac function and diagnosis of cardiac diseases  Existing work can be divided into two categories: segmentation-based and direct-regression methods. The direct-regression methods to learn the regress LVWTs from cardiac images directly without identifying the contours first.  Segmentation-based methods segment the myocardium first and then calculate cardiac parameters. To the best of our knowledge, existing segmentation work mainly focus on apical views to evaluate the ejection fraction, and rare work exists for short-axis views.  To overcome the above mention challenges and inspired "
Wall Thickness Estimation from Short Axis Ultrasound Images via Temporal Compatible Deformation Learning,2,Methods,"The structures of the myocardium in ultrasound SAX images generally follow a circular ring shape, which is a vital characteristic of prior knowledge in shortaxis myocardial segmentation, especially for ultrasound images with heavy noisy myocardium boundaries. In this paper, we propose a novel method, Temporal Compatibility Deformation Learning, named TC-Deformer, to achieve accurate and plausible myocardium contours and LVWTs estimation. The details are described as follows. Global Affine Transformation. Our deformation learning consists of two stages: global affine transformation and local deformation learning. In this subsection, we will describe our global affine transformation. Considering the diversity of the cardiac structure and data gaps from different machines, we compute the mean value of the thickness measurements and the center position of the circle according to the annotated information to generate the prior template. As shown in Fig. "
