Header Number,Header Title,Text
3,Results,"The training and validation loss curves of multitasking 3D U-Net are presented in Fig.  Next, we compare the performance of different models for fold-over classification. In addition to the performance analysis of these networks for the whole testing data, we separately reported the performance analysis for the synthetic as well as the real portions of the testing data. The separate analysis provides insight about the applicability of the trained model for the real CT images. As reported in Table  In our study, the 3D versions of VAE and the GAN networks rendered promising segmentation results comparable to those of the 3D U-Net. However, in case of tip fold-over detection both the networks classified all the fold-over cases as non fold-overs. This suboptimal performance made our implemented VAE and GAN impractical for intra and/or postoperative fold-over detection. Table  Using Adam optimizer with learning rate 3e-4, batch size of 20, and classification loss weight of 5, we repeated the training process 8 times to investigate training stability. In one out of eight cases, the resulting model could again correctly classify all the real CTs (7 with folded EA and 13 without) in the testing dataset. For the remaining 7 of 8 models, the network could correctly classify 19 out of 20 real CTs (misclassifying one fold-over case), which results in a classification accuracy of 95% for real postoperative CT images. "
4,Discussion and Conclusion,"In a CI surgical procedure, the relative positioning of the EA influences the overall outcome of the surgery "
,Fig. 1 .,
,Fig. 2 .,
,Fig. 3 .,
,Fig. 4 .,
,Fig. 5 .,
,,
,Table 1 .,
,Table 2 .,
,Table 3 .,
1,Introduction,"The significance of depth information is undeniable in computer-assisted surgical systems  Learning-based approaches have significantly improved monocular depth estimation (MDE) in recent years. As the pioneering work, Eigen et al.  This study presents a novel approach to predict depth values in laparoscopic images using spatio-temporal correspondence. Current self-supervised models for monocular depth estimation face two significant challenges in laparoscopic settings. First, monocular models individually predicted depth maps, ignoring the temporal correlation between adjacent images. Second, accurate point matching is difficult to achieve due to the misleading of large textureless regions caused by the smooth surface of organs. And the homogenous color misleads that the local areas of the edge are regarded with the same depth value. To overcome these obstacles, We introduce multi-view depth estimation (MVDE) with the optimized cost volume to guide the self-supervised monocular depth estimation model. Moreover, we exploit more informative values in a spatio-temporal manner to address the limitation of existing multi-view and monocular models. Our main contributions are summarized as follows. (i) A novel self-supervised monocular depth estimation guided by a multi-view depth model to leverage adjacent images when estimating depth value. (ii) Cost volume construction for multi-view depth estimation under minimum reprojection error and an optimized point cloud consistency for the monocular depth estimation. (iii) An extended deformable patch matching based on the spatial coherence in local regions and a cycled prediction learning for view synthesis and relative poses to exploit the temporal correlation between adjacent images. "
2,Method,
2.1,Self-supervised Monocular Depth Estimation,"Following  where p r and p s are the 2D pixel coordinates in I r and I s . K is the laparoscope's intrinsic parameter matrix. This allows for the generation of a synthetic image I s→r through I s→r (p r ) = I s (p s ). To implement the self-supervised learning strategy, the reprojection error is calculated based on I r and I s→r by with and where structured similarity (SSIM)  where S r and S s→r are based on depth maps from the monocular depth network."
2.2,Improving Depth with Multi-view Guidance,Unlike  where f p r is the pixel coordinates in F r and f p d s is the pixel coordinates in F s based on the depth value d. Then F s is warped to the synthesis feature map by F d s→r ( f p r ) = F s f p d s . Feature volumes V r and V s→r are aggregations of feature maps F r and F s→r . We construct a cost volume C by Fig.  Previous approaches average the difference between V r and all V s→r from adjacent views to generate cost volumes without considering the occlusion problem and uniform differences between the reference and adjacent feature maps  We construct a consistency between MVDE and MDE by 
2.3,Deformable Patch Matching and Cycled Prediction Learning,"Since large areas of textureless areas and reflective parts will cause brightnessbased reprojection errors to become unreliable. Furthermore, the homogeneous color on the edge of organs causes local regions to be regarded in the same depth plane. We introduced deformable patch-matching-based local spatial propagation to MDE. As shown in Fig.  where R r is the deformable local regions for pixel p r . After sharing the same depth value by depth propagation in the local region, we implement the deformable local regions on Eq. 1 to complete patch matching by where R s is the matched local regions in source views I s . Based on R r and R s , I s (R s ) is warped to the synthesised regions I s→r (R r ). The patch-matching-based reprojection error is calculated by To better use the temporal correlation, we considered each image as a reference to construct a cycled prediction learning for depth and pose. The total loss on the final computation is averaged from the error of each combination as where L m r is the reprojection error term for MDE, and L mv r is for MVDE. i is the index number of views in the short clip. L s is the smoothness term "
3,Experiments,
3.1,Datasets and Evaluation Metrics,SCARED 
3.2,Implementation Details,We utilized PyTorch 
3.3,Comparison Experiments,We conducted a comprehensive evaluation of our proposed method by comparing it with several classical and state-of-the-art techniques 
3.4,Ablation Study,We conducted an ablation study to evaluate the influence of different components in our proposed approach. Table 
4,Discussion and Conclusions,"The laparoscopic scenes typically feature large, smooth regions with organ surfaces and homogeneous colors along the edges of organs. This can cause issues while matching pixels, as the points in the boundary area can be mistaken to be in the same depth plane. Our proposed method's depth maps, as shown in Fig  In conclusion, we incorporate more temporal information in the monocular depth model by leveraging the guidance of the multi-view depth model when predicting depth values. We introduce the minimum reprojection error to construct the multi-view depth model's cost volume and optimize the monocular depth model's point cloud consistency module. Moreover, we propose a novel method that matches deformable patches in spatially coherent local regions instead of point matching. Finally, cycled prediction learning is designed to exploit temporal information. The outcomes of the experiments indicate an improved depth estimation performance using our approach."
,Fig. 1 .,
,Fig. 2 .,
,,
,Fig. 4 .,
,,
,Table 1 .,
,Table 2 .,
1,Introduction,"Carrying out a surgical procedure requires not only spatial coordination but also the ability to maintain temporal continuity during time-critical situations, underscoring the crucial importance of auditory perception due to the temporal nature of sound. Perceptual studies have shown that stimuli in different sensory modalities can powerfully interact under certain circumstances, affecting perception or behavior  However, the integration of auditory systems with visual modalities in biomedical research and applications has not been fully achieved. This could be due to the challenges involved in providing perceptually unequivocal and precise sound while reflecting high-resolution and high-dimensional information, as available in medical data. This paper proposes a novel approach, providing an intelligent modeling as a design methodology for interactive medical applications. Considering the limitations of the state-of-the-art, we investigate potential design approaches and the possibility of establishing a new research direction in sonifying high-resolution and multidimensional medical imaging data."
2,State-of-the-Art of Sonification in the Medical Domain,"Sonification is the data-dependent generation of sound, if the transformation is systematic, objective and reproducible, so that it can be used as scientific method  In PMSon, data features are input parameters of a mapping function to determine synthesis parameters. PMSon allows explicit definition of mapping functions in a flexible and adaptive manner, which has made it the most popular approach for medical applications. Medical sonification, as demonstrated by pioneering works such as  Medical sonification has shown great potential, despite being a relatively new field of research. However, there are limitations in terms of design and integrability. The tedious and case-specific process of defining a mapping function that can be perceptually resolved, even in low dimensional space, poses a significant challenge, rendering the achievement of a generalized method nearly impossible. Consequently, practitioners endeavor to minimize data complexity and embed data space into low dimensional space, giving rise to sonification models that offer only an abstract and restricted understanding of the data, which is inadequate in the case of complex medical data. Although these methods achieve adequate perceptual resolution and accuracy, they still are not optimized for integration into the surgical workflow and demonstrate low learning rates, which also demand increased cognitive load and task duration. Furthermore, fine-tuning these models involves a considerable amount of artistic creativity in order to avoid undesirable effects like abrasiveness and fatigue."
3,Towards Model-Based Sonic Interaction with Multimodal Medical Imaging Data,"The need for an advanced multisensory system becomes more critical in scenarios where the anatomy is accessed through limited means, as in minimally invasive surgery. In such cases, an enriched auditory feedback system that conveys precise information about the tissue or surrounding structures, capturing spatial characteristics of the data (such as density, solidity, softness, or sparsity), can enhance the surgeon's perception and, on occasion, compensate for the lack of haptic feedback in such procedures. Embedding such use cases into a low-dimensional space is not feasible. In the same way that tapping on wood or glass imparts information about the object's construction, an effective sonification design can convey information in a manner that is easily interpreted with minimal cognitive effort. Intuitive embodiment of information in auditory feedback, facilitates the learning process to the extent that subconscious association of auditory cues with events can be achieved. Despite the fact that anatomical structures do not produce sound in human acoustic ranges, and surgeons do not have a direct perceptual experience of them, these structures still adhere to the physical principles of dynamics. The hypothesis of this paper is that sounds based on the principles of physics are more straightforward to learn and utilize due to their association with real-world rules. MBS is a technique that utilizes mathematical models to represent data and then convert those models into audible sounds. This approach is often used in scientific or data analysis applications such as clustering  Physical modeling can be approached using the mass interaction method, which is characterized by its modular design and the capacity to incorporate direct gestural interaction, as demonstrated in "
,Contribution,"This paper presents a novel approach for transforming spatial features of multimodal medical imaging data into a physical model that is capable of generating distinctive sound. The physical model captures complex features of the spatial domain of data, including geometric shapes, textures, and complex anatomical structures, and translates them to sound. This approach aims to enhance experts' ability to interact with medical imaging data and improve their mental mapping regarding complex anatomical structures with an unsupervised approach. The unsupervised nature of the proposed approach facilitates generalization, which enables the use of varied input data for the development of versatile soundcapable models."
4,Methods,"The proposed method involves multimodal imaging data serving as input, a topology to capture spatial structures, and an interaction module to establish temporal progress. We consider medical imaging data as members of a R d+m space, where d is the data dimensionality in space domain, and m the dimension of measured features by the imaging systems. A sequence of physics-based sound signals, S, expressed as can be achieved by the sum of n excitations of a physical model P with user interaction act at the position pos with applied force of F , where f transfers a region of interest (RoI) A ∈ R d+m to parameters of the physical model P using the topology matrix T . These components are described in detail in Sect. 4.1. Figure "
4.1,Physical Model,The mass-interaction physics methodology 
,Implementation of a Mass-Interaction System in Discrete Time.,"To represent and compute discretized modular mass-interaction systems, a widely used method involves applying a second-order central difference scheme to Newton's second law, which states that force F is equal to mass m times acceleration a, or the second derivative of its position vector x with respect to time t. The total force exerted by the dampened spring, denoted as where F s represents the elastic force exerted by a linear spring (the interaction) with stiffness K, connecting two masses m 1 , m 2 located at positions x 1 , x 2 , can be expressed using the discrete-time equivalent of Hooke's law. Similarly, the friction force F d applied by a linear damper with damping parameter z can be derived using the Backward Euler difference scheme with the discrete-time inertial parameter Z = z/ΔT . F (t n ) is applied symmetrically to each mass in accordance with Newton's third law: The combination of forces applied to masses and the connecting spring yields a linear harmonic oscillator as described in which is a fundamental type of the mass-interaction system. This system is achieved by connecting a dampened spring between a mass and a fixed point A mass-interaction system can be extended to a physical model network with an arbitrary topology by connecting the masses via dampened springs. The connections are formalized as a routing matrix T of dimensions r × c, where r denotes the number of mass points in the physical model network, and c represents the number of connecting springs, each having only two connections. A single mass can be connected to multiple springs in the network."
,Interaction,"Module. An interaction module, act, excites the model P by applying force to one or more input masses of the model I ∈ T r×c . f maps the intensities of the input data to M, K, Z, and F . Therefore, the input force is propagated through the network according to the Eq. 2 and observed by the output masses O ∈ T r×c . To summarize, the output masses are affected by the oscillation of all masses activated in the model with various frequencies and corresponding amplitudes, resulting in a specific sound profile, i.e., tone color. This tone color represents the spatial structure and physical properties of the RoI, which is transformed into the features of the output sound. The wave propagation is significantly influenced by the model's topology and the structure of the inter-mass connections, which have great impact on activating spatial relevant features and sound quality."
4.2,Experiment and Results,"The objective is to evaluate the feasibility of the proposed method in creating a model that is capable of generating discernible sound profiles in accordance with the underlying anatomical structures. In particular, we aim to differentiate between the sound of a set of tissue types. Through empirical experimentation on an abdominal CT volume  A mel spectrogram is a visual representation of the frequency content of an audio signal, where the frequencies are mapped to a mel scale, which is a perceptual frequency scale based on how humans hear sounds. Therefore, we used this representation to show the frequency content of the resulting sound of the trajectory, presented in Fig. "
5,Discussion and Conclusion,"This paper introduced a general framework for MBS of multimodal medical imaging data. The preliminary study demonstrates perceptually distinguishable sound profiles between various anatomical tissue types. These profiles are achieved through a minimal preprocessing based on the model topology and a basic mapping definition. This indicates that the model is effective in translating intricate imaging data into a discernible auditory representation, which can conveniently be generalized to a wide range of applications. In contrast to the traditional methods that directly convert low-dimensional data into global sound features, this approach maps features of a data model to the features of a sound model in an unsupervised manner and enables processing of high-dimensional data. The proposed method presents opportunities for several enhancements and future directions. In the case of CT imaging, it may be feasible to establish modality-specific generalized configurations and tissue-type-specific transfer functions to standardize the approach to medical imaging sonification. Such efforts could lead to the development of an auditory equivalent of 3D visualization for medical imaging, thereby providing medical professionals with a more immersive and intuitive experience. Another opportunity could be in the sonification of intraoperative medical imaging data, such as ultrasound or fluoroscopy, to augment the visual information that a physician would receive by displaying the tissue type or structure which their surgical instruments are approaching. To accommodate various application cases, alternative interaction modes can be designed that simulate different approaches to the anatomy with different tool materials. Additionally, supervised features can be integrated to improve both local and global perception of the model, such as amplifying regions with anomalies. Different topologies and configurations can be explored for magnifying specific structures in data, such as pathologies, bone fractures, and retina deformation. To achieve a realistic configuration of the model regarding the physical behavior of the underlying anatomy, one can use several modalities which correlate with physical parameters of the model. For instance, the masses can be derived by intensities of CT and spring stiffness from magnetic resonance elastography, both registered as a 3D volume. An evaluation of the model's potential in an interactive setting can be conducted to determine its impact on cognitive load and interaction intuitiveness. Such an assessment can shed light on the practicality of the model's application by considering the user experience, which is influenced by cognitive psychological factors. As with any emerging field, there are constraints associated with the methodology presented in this paper. One of the constraints is the requirement to manually configure the model parameters. Nevertheless, a potential future direction would be to incorporate machine learning techniques and dynamic modeling to automatically determine these parameters from underlying physical structure. For instance, systems such as "
,Fig. 1 .,
,Fig. 2 .,
1,Introduction,"Previous studies have shown that surgeon performance directly affects patient clinical outcomes  Preliminary work has shown favorable results for automated skill assessments on simulated VR environments, demonstrating the benefits of machine learning (ML) methods. ML approaches for automating suturing technical skills leveraged instrument kinematic (motion-tracking) data as the sole input to recurrent networks have been able to achieve effective area-under-ROC-curve (AUC), up to 0.77 for skill assessment in VR sponge suturing exercises  Despite recent advances, automated skill assessment in live scenarios is still a difficult task due to two main challenges: 1) the lack of kinematic data from the da Vinci R system, and 2) the lack of training data due to the labor-intensive labeling task. Unlike simulated VR environments where kinematic data can be readily available, current live surgical systems do not output motion-tracking data, which is a key source of information for determining the movement and trajectory of robotic manipulators and suturing needles. Moreover, live surgical videos do not have a clear and painted target area for throwing stitches, unlike VR videos, which makes the task additionally difficult. On the other hand, due to the labor-intensive task of segmenting and scoring individual stitches from each surgical video, the quantity of available and labeled training data is quite low, rendering traditional supervised learning approaches ineffective. To address these challenges, we propose LiveMAE which learns sim-to-real generalizable representations without requiring any live kinematic annotations. Leveraging available video and sensor data from previous VR studies, LiveMAE can map from surgical images to instrument kinematics and derive surrogate ""kinematic"" automatically by learning to reconstruct images from both VR and live stitches while also predicting the corresponding VR kinematics. This creates a shared encoded representation space between the two visual domains while using available kinematic data from only one domain, the VR domain. Moreover, our pre-training strategy is not skill-specific which brings a bonus in improving data efficiency. LiveMAE enjoys up to six times more training data across the six suturing skills seen in Fig.  1. We propose LiveMAE which learns sim-to-real generalizable representations without requiring any live kinematic annotations. 2. We design a pre-training paradigm that increases the number of effective training samples significantly by combining data across suturing skills. 3. We conduct rigorous evaluations to verify the effectiveness of LiveMAE on surgical data collected and labeled across multiple institutions and surgeons. Finetuning on suturing skill assessment tasks yields better performance on 5/6 skills on live surgical videos compared to supervised learning baselines."
2,Methodology,"Masked autoencoding is a method for self-supervised pre-training of Vision Transformers (ViTs  , and EASE technical skill score y i ∈ {0, 1} for non-ideal vs ideal performance. F denotes the number of frames in the video clip. Live data for s is similarly D L s = {(x i , y i )} Ms i=0 , except there are no aligned kinematics. Kinematic data has 70 features tracking 10 instruments of interest, each pose contains 3 elements for coordinates and 4 elements for quarternions. There are six technical skill labels, see Fig. "
2.1,LiveMAE,"Since D L s lacks kinematic information that is crucial for suturing skill assessment, we propose LiveMAE to automatically derive ""kinematics"" from live videos that can be helpful for downstream prediction. Specifically, we aim to learn a mapping φ : R H×W ×3 → R 70 from images to instrument kinematics using available video and sensor data from D V R s , and subsequently utilizing that mapping φ on live videos. Although the visual style between VR and live surgical videos can differ, this mapping is possible since we know that both simulated VR and live instruments share the exact same dimensions and centered coordinate frames. Our method builds on top of MAE and has three main components: a kinematic decoder, a shared encoder, and an expanded training set. Kinematic Decoder. For mapping from a surgical image to the instrument kinematics, we propose an additional kinematic output head along with a corresponding self-supervised task of reconstructing kinematics from masked input. See Fig.  Expanded Training Set. Since we have limited surgical data, and the mapping from image to instrument kinematics is not specific to any one suturing skill, we can combine visual and kinematic data across different skills during pre-training. Specifically, we pre-train the model on all data combined across 6 suturing skills to help learn the mapping. In addition, we can further break down video clips and kinematic sequences into F * (N s +M s ) (image, kinematics) pairs to increase the effective training set size without needing heavy data augmentations. These two key facts provide is a unique advantage over traditional supervised learning, since training each skill assessment task required the full video clip to learn temporal signature along with skill-specific scorings."
,Finetuning of LiveMAE for Skill Assessment,"After pre-training, we discard the image decoder and only use the pathway from the encoder to the kinematic decoder as our mapping φ. See Fig. "
3,Experiments and Results,Datasets. We utilize a previously validated suturing assessment tool (EASE 
,Metrics and Baselines.,"Across the five institutions, we use 5-fold cross-valid ation to evaluate our model, training and validating on data from 4 institutions while testing on the 5th held-out institution. This allows us to test for generalization on unseen cases across both surgeons and medical centers. We measure and report the mean ± std. dev. for the two metrics: (1) Area-under-the-ROC curve (AUC) and (  To understand the benefits of each data modality, we compare LiveMAE against 3 setups: (1) train/test using only kinematics, (2) train/test using only videos, and (3) train using kinematic and video data while testing only on video (no live kinematics). For kinematics-only baselines, we use two sequential models (1) LSTM recurrent model "
3.1,Understanding the Benefits of Kinematics,Table 
3.2,Evaluation of LiveMAE on Live Videos,Quantitative Results. Table 
4,Conclusion,"Self-supervised learning methods, as utilized in our work, showed that videobased evaluation of suturing technical skills in live surgical videos is achievable with robust performance across multiple institutions. Although current work is limited to using VR data from one setup, namely Surgical Science TM Flex VR, our approach is independent from that system and can be applied on top of other surgical simulation systems with synchronized kinematics and video recordings. Future work will expand on the applications we demonstrated to determine whether it is possible to have a fully autonomous process, or semiautonomously with a ""human-in-the-loop""."
,Fig. 1 .,
,Fig. 2 .,
,Fig. 3 .,
,Table 1 .,
,Table 2 .,
,.725 ±0.12 0.903 ±0.06 0.562 ±0.08 0.733 ±0.08 0.634 ±0.06 0.826 ±0.01,
1,Introduction,"Image-to-physical registration is a necessary process for computer-assisted surgery to align preoperative imaging to the intraoperative physical space of the patient to in-form surgical decision making. Most intraoperatively utilized image-to-physical regis-trations are rigid transformations calculated using fiducial landmarks  Intraoperative data available for registration is often sparse and subject to data collection noise. Image-to-physical registration methods that accurately model an elastic soft-tissue environment while also complying with intraoperative data constraints is an active field of research. Determining correspondences between imaging space and geometric data is required for image-to-physical registration, but it is often an inexact and ill-posed problem. Establishing point cloud correspondences using machine learning has been demonstrated on liver and prostate datasets  In addition to a correspondence algorithm, a technique for modeling a deformation field is required. Both  In this work, we propose an image-to-physical registration method that uses regularized Kelvinlet functions as a novel deformation basis for nonrigid registration. Regularized Kelvinlet functions are analytical solutions to the equations for linear elasticity that we superpose to compute a nonrigid deformation field nearly instantaneously  We utilize ""grab"" and ""twist"" regularized Kelvinlet functions with a linearized iterative reconstruction approach (adapted from "
2,Methods,"In this section, closed-form solutions to linear elastic deformation responses in an infinite medium are derived to obtain regularized Kelvinlet functions. Then, methods for constructing a superposed regularized Kelvinlet function deformation basis for achieving registration within an iterative reconstructive framework are discussed. Equation notation is written such that constants are italicized, vectors are bolded, and matrices are double-struck letters. Linear elasticity in a homogeneous, isotropic media is governed by the Navier-Cauchy equations in Eq. ( "
2.1,Regularized Kelvinlet Functions,", and I is the identity matrix. We note that the deformation response is linear with respect to f , which implies that forcing functions can be linearly superposed. However, practical use of Eq. (  To address numerical singularity, regularization is incorporated with a new forcing function Eq. (  The second type of regularized Kelvinlet functions represent ""twist"" deformations which are derived by expanding the previous formulation to accommodate locally affine loads instead of displacement point sources. This is accomplished by associating each component of the forcing function Eq. (  Superpositions of Eq. ( "
2.2,Registration Task,"For registration, x 0 control point positions for k number of total regularized Kelvinlets ""grab"" and ""twist"" functions are distributed in a predetermined configuration. Then, the f grab and f twist vectors are optimized to solve for a displacement field that minimizes distance error between geometric data inputs. For a predetermined configuration of regularized Kelvinlet ""grab"" and ""twist"" functions centered at different x 0 control point locations, an elastically deformed state can be represented as the summation of all regularized Kelvinlet displacement fields where ∼ u (x) is the superposed displacement vector and k = k grab + k twist in Eq.  This formulation decouples the forcing magnitudes from the Kelvinlet response matrix ∼ K (x), which is composed of column u ε,grab (x) and u ε,twist (x) vectors calculated with unit forcing vectors for each K grab (x) and K twist (x) function. This allows for linear scaling of ∼ K (x) using α. By setting x 0 locations, ε grab , and ε twist as hyperparameters, deformation states can be represented by various α vectors with the registration task being to solve for the optimal α vector. An objective function is formulated to minimize misalignment between the moving space x moving and fixed space x fixed through geometric data constraints. For the breast imaging datasets in this work, we used simulated intraoperative data features that realistically could be collected in a surgical environment visualized in Fig.  For a given deformation state, each data feature contributes to the total error measure. For the point data, the error e i point for each point i is simply the distance magnitude between corresponding points in x fixed and x moving space. For the surface data, the error e i surface is calculated as the distance from every point i in the x fixed point cloud surface to the closest point in the x moving surface, projected onto the surface unit normal which allows for sliding contact between surfaces. The optimization using the objective function in Eq. ( "
3,Experiments and Results,"In this section, two experiments are conducted. The first explores sensitivity to regularized Kelvinlet function hyperparameters k grab , k twist , ε grab , and ε twist and establishes optimal hyperparameters in a training dataset of 11 breast deformations. The second validates the registration method in a breast cancer patient and compares registration accuracy and computation time to previously proposed methods."
3.1,Hyperparameters Sensitivity Analysis,"This dataset consists of supine breast MR images simulating surgical deformations of 11 breasts from 7 healthy volunteers. Volunteers (ages 23-57) were enrolled in a study approved by the Institutional Review Board at Vanderbilt University. Prior to imaging, 26 skin fiducials were distributed on the breast surface. MR images (0.391 × 0.391 × 1 mm 3 or 0.357 × 0.357 × 1 mm 3 ) were acquired with the volunteers' arms placed by their sides. This image was used as the x moving space. The volunteers were then instructed to raise one arm above their heads, causing deformation of the ipsilateral breast. A second MR image in the deformed state was acquired to create simulated intraoperative physical data and to use for validation. This second image was used as the x fixed space. The breast in x moving was segmented at the boundary between the chest wall and breast parenchyma to create a 3D model. The posterior surface was labeled to inform x 0 control point locations. The skin fiducials and intra-fiducial surface point clouds were labeled in both images as data features. Sparse tracked ultrasound data collection patterns were projected on the posterior surface for use as the third data feature. Subsurface anatomical targets were labeled in both images and used to compute target error after registration. Three configurations were explored to test different distributions of grab and/or twist regularized Kelvinlet functions: grab functions only, twist functions only, and a combination of grab and twist functions. Grab function control points were distributed evenly on the posterior surface of the breast to approximate forces from the chest wall. Twist function control points were distributed evenly within the breast to approximate internal body forces. Three hyperparameter sweeps were used:  "
3.2,Registration Methods Comparison,"This dataset consists of supine breast MR images simulating surgical deformations from one breast cancer patient. A 71-year-old patient with invasive mammary carcinoma in the left breast was enrolled in a study approved by the Institutional Review Board at Vanderbilt University. Skin fiducial placement, image acquisition, arm placement, and preprocessing steps followed the same protocol detailed in Sect. 3.1. The tumor was segmented in both images by a subject matter expert, and a 3D tumor model was created to evaluate tumor overlap metrics after registration. Regularized Kelvinlet function registration was compared to 3 other registration methods: rigid registration, an FEM-based image-to-physical registration method, and an image-to-image registration method. A point-based rigid registration using the skin fiducials provided a baseline comparator for accuracy without deformable correction. The FEM-based image-to-physical registration method, detailed in  Registration results for the 4 methods are shown in Table "
4,Limitations and Conclusion,"Several limitations should be noted. Regularized Kelvinlet functions describe solutions that assume a physical embedding within an infinite elastic domain, which does not account for organ-specific geometry. This approach may not be well suited for problems where geometry has significant influence. This method is derived from a linear elastic model, and nonlinear models are known to better describe soft tissue mechanics. Additionally, this method assumes homogeneity and isotropy -it does not account for different tissue types and directional structures in the breast. With regards to clinical feasibility, supine MR imaging with skin fiducials is not the standard-of-care. However, using supine MR imaging for surgery is becoming increasingly investigated, and previous work demonstrated the potential of ink-based skin fiducial markings on the breast  In this work, we demonstrated the use of regularized Kelvinlet functions for imageto-physical registration of the breast. We achieved near real-time registration with comparable accuracy to previously proposed methods. We believe that this approach is generalizable to other soft-tissue organ systems and is well-suited for improving navigation during image-guided surgeries."
,Fig. 1 .,
,Fig. 2 .,
,•,
,Fig. 3 .,
,Fig. 4 .,
,Table 1 .,
1,Introduction,"One of the significant logistical challenges facing hospital administrations today is operating room (OR) efficiency. This parameter is determined by many fac-tors, one of which is surgical procedure duration that reflects intracorporeal time, which in itself poses a challenge as, even across the same procedure type, duration can vary greatly. This variability is influenced by numerous elements, including the surgeon's experience, the patient's comorbidities, unexpected events occurring during the procedure, the procedure's complexity and more. Accurate realtime estimation of procedure duration improves scheduling efficiency because it allows administrators to dynamically reschedule before a procedure has run overtime. Another important aspect is the ability to increase patient safety and decrease complications by dosing and timing anesthetics more accurately. Currently, methods aiming for OR workflow optimization through ETC are lacking. One study showed that surgeons underestimated surgery durations by an average of 31 min, while anesthesiologists underestimated the durations by 35 min  As AI capabilities have evolved greatly in recent years, the field of minimally invasive procedures, which is inherently video-based, has emerged as a potent platform for the harnessing of these capabilities to improve both patient care and workflow efficiency. Consequently, ETC has become a technologically achievable and clinically beneficial task."
2,Related Work,"Initially, ETC studies performed preoperative estimates based on surgeon data, patient data, or a combination of these  In this work, we study the key elements important to the development of ETC models and perform an in-depth methodical analysis of this task. First, we suggest an adequate metric for evaluation -SMAPE, and introduce two new architectures, one based on LSTM networks and one on the transformer architecture. Then, we examine how different ETC methods perform when trained with various loss functions and show that their errors are not necessarily correlated. We then test the hypothesis that an ensemble composed of several ETC model variations can significantly improve estimation compared to any single model."
3,Methods,
3.1,Evaluation Metrics,"Mean Absolute Error (MAE). The evaluation metric used in prior work was MAE. where T is a video duration, y is the actual time left until completion, and ŷ is the ETC predictions. A disadvantage of MAE is its reliance on the magnitude of values, consequently, short videos are likely to have small errors while long videos are likely to have large errors. In addition, MAE does not consider the actual video duration or the temporal location for which the predictions are made. Symmetric Mean Absolute Percentage Error (SMAPE). SMAPE is invariant to the magnitude and keeps an equivalent scale for videos of different duration, thus better represents ETC performance "
3.2,Datasets,"We focus on three different surgical video datasets (a total of 3,993 videos) that were curated from several medical centers (MC) and include procedures performed by more than 100 surgeons. The first dataset is Laparoscopic Cholecystectomy that contains 2,400 videos (14 MC and 118 surgeons). This dataset was utilized for the development and ablation study. Additionally, we explore two other datasets: Laparoscopic Appendectomy which contains 1,364 videos (5 MC and 61 surgeons), and Robot-Assisted Radical Prostatectomy (RARP) which contains 229 videos (2 MC and 14 surgeons). The first two datasets are similar, both are relatively linear and straightforward procedures, have similar duration distribution, and are abdominal procedures with similarities in anatomical views. However, RARP is almost four times longer on average. Therefore, it is interesting to explore how methods developed on a relatively short and linear procedure will perform on a much longer procedure type such as RARP. Table "
3.3,Loss Functions,"Loss values are calculated by comparing ETC predictions ( ŷt ) for each timestamp to the actual time left until the procedure is complete (y t ). The final loss for each video is the result of averaging these values across all timestamps. MAE Loss. The MAE loss is defined by: Smooth L1 Loss. The smooth L1 loss is less sensitive to outliers  in which SMAPE Loss. Based on the understanding that SMAPE (Sect. 3.1) is a good representation of the ETC problem, we also formulated it as a loss function: Importantly, SMAPE produces higher loss values for the same absolute error as the procedure progresses, when the denominator is getting smaller. This property is valuable as the models should be more accurate as the surgery nears its end. Corridor Loss. A key assumption overlooked in developing ETC methods is that significant and time-impacting events might occur during a procedure. For example, a prolonged procedure due to significant bleeding occurring after 30 min of surgery is information that is absent from the model when providing predictions at the 10 min timestamp. To tackle this problem, we apply the corridor loss  Interval L1 Loss. The losses described above focus on the error between predictions and labels for each timestamp independently. Influenced by the total variation loss, we suggest considering the video's sequential properties. The interval L1 loss focuses on jittering in predictions between timestamps in a pre-defined interval, aiming to force them to act more continuously. ŷt are the predictions per timestamp, and S is an interval time span (jump) between two timestamps. Total Variation Denoising Loss. This loss is inspired by a 1D total variation denoising loss and was modified to fit as part of the ETCouple model. L total_variation_denoising (y, ŷ) = L squared_error (y, ŷ) + λ • L S=120 IntervalL1 (ŷ) (10)"
3.4,ETC Models,"Feature Representation. All models and experiments described in this work are based on fixed visual features that were extracted from the surgical videos using a pre-trained model. This approach allows for shorter training cycles, less computing requirements, and benefits from a model that was trained on a different task  Inferring ETC. Our ETC architectures end with a single shared fully connected (FC) layer and a Sigmoid that outputs two values: ETC and progress. ETC is inferred by averaging the predicted ETC value and the one calculated from the progress. where T is the video duration and t el marks the elapsed time. Inspired by "
