paper_id,extracted_sents_cancer
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol1/paper_52.pdf,"our framework was tested on the task of breast
self-supervised domain adaptive segmentation of breast cancer
541
cancer segmentation in ultrasound images, but it could also be applied to other
lesion segmentation tasks.
to summarize, our contributions are three-fold:
• we design a self-supervised da framework that includes a parameter search
method and provide a mathematical justiﬁcation for it."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol1/paper_52.pdf,"• we applied our framework to the task of segmenting breast cancer from ultra-
sound imaging data, demonstrating its superior performance over competing
uda methods."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol1/paper_52.pdf,"our results indicate that our framework is eﬀective in improving the accuracy of
breast cancer segmentation from ultrasound images, which could have potential
implications for improving the diagnosis and treatment of breast cancer."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol1/paper_52.pdf,"furthermore, since dt
ft is ﬁne-tuned in t
self-supervised domain adaptive segmentation of breast cancer
543
fig."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol1/paper_52.pdf,"all three databases contain ultrasound
imaging data and segmentation masks for breast cancer, with the masks labeled
as 0 (background) and 1 (lesion) using a one-hot encoding."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol1/paper_52.pdf,"additionally, mib-
net [28], which is a state-of-the-art model for breast cancer segmentation using
ultrasound images, was employed for comparison."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol1/paper_52.pdf,"3 illustrates the bus database was used for testing, and
self-supervised domain adaptive segmentation of breast cancer
545
fig."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol1/paper_52.pdf,"furthermore, as illustrated in fig 4, our framework provides
superior precision scores in a long range of (0, 0.7), indicating that our frame-
works estimated unnecessary mispredictions but precise predictions on cancer."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol1/paper_52.pdf,"our framework was ﬁne-tuned as ds
seg → dﬂ
seg → ds→t
seg
self-supervised domain adaptive segmentation of breast cancer
547
table 1."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol1/paper_52.pdf,"additionally, the parameters were successfully re-positioned from the local min-
imum in s by parameter ﬂuctuation, which was conﬁrmed by the distances from
s to ds
gen and dﬂ
gen.
4
discussion and conclusion
in this work, we proposed a dl-based segmentation framework for multi-domain
breast cancer segmentation on ultrasound images."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol1/paper_52.pdf,"due to the low resolution of
ultrasound images, manual segmentation of breast cancer is challenging even
for expert clinicians, resulting in a sparse number of labeled data."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol1/paper_52.pdf,"to address
this issue, we introduced a novel self-supervised da network for breast cancer
segmentation in ultrasound images."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol1/paper_52.pdf,"moreover, our proposed framework is not limited to breast cancer segmentation
on ultrasound images acquired from diﬀerent domains."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol1/paper_20.pdf,"automated detection of gallbladder cancer (gbc) from
ultrasound (us) images is an important problem, which has drawn
increased interest from researchers."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol1/paper_20.pdf,"keywords: weakly supervised object detection · ultrasound ·
gallbladder cancer
1
introduction
gbc is a deadly disease that is diﬃcult to detect at an early stage [12,15]."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol1/paper_20.pdf,"206–215, 2023.
https://doi.org/10.1007/978-3-031-43907-0_20
gall bladder cancer detection from us images
207
low cost, and accessibility make us a popular non-invasive diagnostic modality for
patients with suspected gall bladder (gb) aﬄictions."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol1/paper_20.pdf,"gall bladder cancer detection from us images
209
2
datasets
gallbladder cancer detection in ultrasound images: we use the pub-
lic gbc us dataset"
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol1/paper_20.pdf,"for gbc classiﬁcation, if the model generates
bounding boxes for the input image, then we predict the image to be malignant,
since the only object present in the data is the cancer."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol1/paper_20.pdf,"+ (1 − yi) log (1 − φi)]
(2)
the mil classiﬁer further suﬀers from overﬁtting to the distinctive classiﬁcation
features due to the mismatch of classiﬁcation and detection probabilities [24].
to tackle this, we further use a self-supervised module to improve the instances.
gall bladder cancer detection from us images
211
self-supervised instance learning: inspired by [24], we design a instance
learning module with nr blocks in a self-supervised framework to reﬁne the
instance scores with instance-level supervision."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol1/paper_20.pdf,"the applicability of our method
on two diﬀerent tasks - (1) gbc detection from us and (2) polyp detection from
colonoscopy, indicates the generality of the method across modalities.
gall bladder cancer detection from us images
213
ablation study: we show the detection sensitivity to the self-supervised
instance learning module in table 2 for two variants, (1) vanilla mil head
on detr, and (2) mil with self-supervised instance learning on detr."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol1/paper_22.pdf,"the proposed
model improves the classiﬁcation auc by 5% with respect to a baseline
model on our internal dataset, and by 26% on the public lihc dataset
from the cancer genome atlas."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol1/paper_22.pdf,this is the public lihc dataset from the cancer genome atlas
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol1/paper_25.pdf,"2.3
slide-level clustering
many histopathologic features have been established based on the morpho-
logic phenotypes of the tumor, such as tumor invasion, anaplasia, necrosis and
mitoses, which are then used for cancer diagnosis, prognosis and the estimation
of response-to-treatment in patients [3,9]. to obtain meaningful representations
of slides, we aim to explore and maintain such histopathologic features in the
latent space."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol1/paper_25.pdf,"tcga-
nsclc dataset includes two subtypes in lung cancer, lung squamous cell car-
cinoma and lung adenocarcinoma, with a total of 1,054 wsis."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol1/paper_25.pdf,"tcga-brca
dataset includes two subtypes in breast cancer, invasive ductal and invasive
lobular carcinoma, with a total of 1,134 wsis.
pre-training."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol1/paper_24.pdf,"our proposal has
proven its eﬀectiveness on two well-known histological datasets, camelyon16 and
tcga lung cancer, obtaining state-of-the-art results on wsi classiﬁcation."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol1/paper_24.pdf,"it is available on the gdc data transfer portal and
comprises two subsets of cancer: lung adenocarcinoma (luad) and lung squa-
mous cell carcinoma (lusc), counting 541 and 513 wsis, respectively."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol1/paper_24.pdf,"we ascribe it to the specimen-
level pixel size relevant for cancer diagnosis task; diﬀerent datasets/tasks may
beneﬁt from diﬀerent scale combinations."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol2/paper_39.pdf,"for example, although small but signif-
icant disease characteristics (e.g., depth of cancer invasion) can sometimes alter
diagnosis and treatment, collecting pairs with and without these characteristics
is cumbersome."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol2/paper_39.pdf,"another major challenge is longitudinal tracking of pathologi-
cal progression over time (e.g., from the early stage of cancer to the advanced
stage), which is diﬃcult to understand because medical images are often snap-
shots."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol2/paper_39.pdf,"1b shows
that whether or not rectal cancer invades the muscularis propria (i.e., b-2 vs.
b-3) aﬀects cancer staging (i.e., t1 vs. t2) as well as treatment strategy (i.e.,
endoscopic resection vs. surgery)."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol2/paper_39.pdf,"the pelvic mri dataset with rectal cancer contained 289 image series for train-
ing and 100 image series for testing."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol2/paper_39.pdf,"the chest ct dataset with lung
cancer contained 500 image series for training and 100 image series for testing."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol2/paper_39.pdf,"because our self-supervised segmentation extracts low- to mid-level image con-
tent, a semantic object (e.g., rectum or lung cancer) typically consists of multiple
segmentation classes shared with other objects (see the magniﬁed images in
fig."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol2/paper_62.pdf,"multimodal models gener-
ally outperform single modality models in disease diagnosis and prediction [24],
and this is especially true in lung cancer which is heavily contextualized through
non-imaging risk factors [6,23,30]."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol2/paper_62.pdf,"given that sev-
eral clinical risk factors have been shown to independently contribute to lung
cancer risk, these signatures are well poised for this predictive task."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol2/paper_62.pdf,"for the nlst cohort (https://cdas.cancer.gov/nlst/), we identiﬁed cases who
had a biopsy-conﬁrmed diagnosis of lung malignancy and controls who had a
positive screening result for an spn but no lung malignancy."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol2/paper_62.pdf,"in the ehr-image cohort, malignant cases were labeled as those with a billing
code for lung malignancy and no cancer of any type prior."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol2/paper_62.pdf,"importantly, this case
criteria includes metastasis from cancer in non-lung locations."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol2/paper_62.pdf,"finally, image-ehr-spn was a
subset of image-ehr with the inclusion criteria that subjects had a billing code
for an spn and no cancer of any type prior to the spn."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol2/paper_62.pdf,"a description of the billing codes used to
deﬁne spn and lung cancer events are provided in supplementary 1.2.
longitudinal multimodal transformer integrating imaging
655
fig."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol2/paper_62.pdf,"3. this is a control subject who developed a lesion over 3 months (a), to which
the imaging-only approaches assigned a cancer probability of 0.4 (c)."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol2/paper_9.pdf,"we evaluate our method
using the task of breast cancer metastases segmentation on the public
camelyon16 dataset and show that it consistently achieves higher
sampling eﬃciency than the standard method across various al step
sizes."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol2/paper_9.pdf,"for instance, in the camelyon16
breast cancer metastases dataset [10], 49.5% of wsis contain metastases that are
smaller than 1% of the tissue, requiring a high level of expertise and long inspec-
tion time to ensure exhaustive tumor localization; whereas other wsis have large
tumor lesions and require a substantial amount of annotation time for boundary
delineation"
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol2/paper_9.pdf,"we test our method using a breast
cancer metastases segmentation task on the public camelyon16 dataset and
demonstrate that determining the selected regions individually provides greater
ﬂexibility and eﬃciency than selecting regions with a uniform predeﬁned shape
and size, given the variability in histological tissue structures."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol2/paper_9.pdf,"note that standard (non-square)
can be understood as an ablation study of the proposed method adaptive to
examine the eﬀect of variable region shape by maintaining constant region size.
2.3
wsi semantic segmentation framework
this section describes the breast cancer metastases segmentation task we use
for evaluating the al region selection methods."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol2/paper_9.pdf,"the training set contains 111 wsis with and 159 wsis without breast
cancer metastases, and each wsi with metastases is accompanied by pixel-level
contour annotations delineating the boundaries of the metastases."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol2/paper_72.pdf,"we evaluate our
proposed method by pre-training on three histopathology datasets and
testing on a histopathology dataset of colorectal cancer (crc) excluded
from the pre-training datasets."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol2/paper_72.pdf,"we evaluate our proposed method on a histopathology image dataset of colorec-
tal cancer (crc)."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol2/paper_72.pdf,"the ﬁrst one is the h&e breast cancer
dataset"
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol2/paper_72.pdf,"[2], containing 312,320 patches extracted from the hematoxylin & eosin
(h&e) stained human breast cancer tissue micro-array (tma) images [18]."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol2/paper_72.pdf,"the second dataset is pannuke [9],
a pan-cancer histology dataset for nuclei instance segmentation and classiﬁca-
tion."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol2/paper_72.pdf,"the third dataset is tcga-brca-a2/e2 [34], a subset derived
from the tcga-brca breast cancer histology dataset [20]."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol2/paper_72.pdf,"as for ﬁne-tuning and evaluation, we employ the
nct-crc-he-100k dataset that contains 100,000 patches from h&e stained
histological images of human colorectal cancer (crc) and normal tissue."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol2/paper_72.pdf,"the
patches have been divided into 9 classes: adipose (adi), background (back),
debris (deb), lymphocytes (lym), mucus (muc), smooth muscle (mus), nor-
synthetic augmentation with large-scale unconditional pre-training
761
mal colon mucosa (norm), cancer-associated stroma (str), colorectal adeno-
carcinoma epithelium (tum)."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol2/paper_57.pdf,"this poses risks when
deploying these models for high-stake decision-making, such as in medical
applications like skin cancer detection."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol2/paper_42.pdf,"the proposed approach is evaluated using the publicly available lidc-
idri dataset consisting of 1018 clinical thoracic ct scans from patients with
non-small cell lung cancer (nsclc)"
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol2/paper_1.pdf,"we conducted two experiments with diﬀerent matching ratios (ratio of the
number of target class samples to the total number of samples) on a public 9-class
colorectal cancer pathology image dataset."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol2/paper_1.pdf,"3
experiments
3.1
dataset, settings, metrics and competitors
to validate the eﬀectiveness of openal, we conducted two experiments with
diﬀerent matching ratios (the ratio of the number of samples in the target class
to the total number of samples) on a 9-class public colorectal cancer pathology
image classiﬁcation dataset (nct-crc-he-100k)"
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol2/paper_1.pdf,"the dataset contains a
total of 100,000 patches of pathology images with ﬁne-grained labeling, with
nine categories including adipose (adi 10%), background (back 11%), debris
(deb 11%), lymphocytes (lym 12%), mucus (muc 9%), smooth muscle (mus
14%), normal colon mucosa (norm 9%), cancer-associated stroma (str 10%),
and colorectal adenocarcinoma epithelium (tum, 14%)."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol2/paper_46.pdf,"automatically detecting breast lesions is a challeng-
ing problem with a potential to aid in improving the eﬃciency of radiologists in
ultrasound-based breast cancer diagnosis [18,21]."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol2/paper_2.pdf,"we conducted experiments on automating
liver tumor segmentation in contrast-enhanced ct scans, a crucial task in liver
cancer diagnosis and surgical planning [1]."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol2/paper_20.pdf,cancer grading is an essential task in pathology.
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol2/paper_20.pdf,"the recent develop-
ments of artiﬁcial neural networks in computational pathology have shown that
these methods hold great potential for improving the accuracy and quality of
cancer diagnosis."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol2/paper_20.pdf,"herein, we propose a centroid-aware
feature recalibration network that can conduct cancer grading in an accurate and
robust manner."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol2/paper_20.pdf,"the proposed network maps an input pathology image into an
embedding space and adjusts it by using centroids embedding vectors of different
cancer grades via attention mechanism."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol2/paper_20.pdf,"equipped with the recalibrated embed-
ding vector, the proposed network classiﬁers the input pathology image into a
pertinent class label, i.e., cancer grade."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol2/paper_20.pdf,"we evaluate the proposed network using
colorectal cancer datasets that were collected under different environments."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol2/paper_20.pdf,"the
experimental results conﬁrm that the proposed network is able to conduct cancer
grading in pathology images with high accuracy regardless of the environmental
changes in the datasets."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol2/paper_20.pdf,"keywords: cancer grading · attention · feature calibration · pathology
1
introduction
globally, cancer is a leading cause of death and the burden of cancer incidence and mor-
tality is rapidly growing [1]."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol2/paper_20.pdf,"in cancer diagnosis, treatment, and management, pathology-
driven information plays a pivotal role."
/Users/yasminsarkhosh/Documents/GitHub/machine-learning-bsc-thesis-2024/miccai_2023/miccai23vol2/paper_20.pdf,"cancer grade is, in particular, one of the major
factors that determine the treatment options and life expectancy."
